Latitude,Longitude,state
38.2448674,-120.5151126,CA
38.2382511,-120.5455571,CA
38.19497373,-120.5358312,CA
38.14102505,-120.4605319,CA
38.1060426,-120.4943327,CA
38.141938,-120.445081,CA
38.10604975,-120.5194946,CA
38.13801651,-120.4692366,CA
38.12832889,-120.4359607,CA
38.16978621,-120.4124516,CA
38.11123317,-120.5081788,CA
38.20896619,-120.6747794,CA
38.23783604,-120.4286524,CA
37.866632,-122.282429,CA
38.09610125,-120.4714412,CA
38.02691869,-120.47836,CA
38.085955,-120.470775,CA
38.09191829,-120.472329,CA
38.085955,-120.470775,CA
38.03588795,-120.4709651,CA
38.25111267,-120.7764816,CA
38.147636,-120.857242,CA
38.40078004,-120.5203124,CA
38.23783604,-120.4286524,CA
37.92546579,-121.6658026,CA
38.00993538,-122.0389826,CA
37.95150355,-122.0280814,CA
37.95150355,-122.0280814,CA
37.89428949,-122.1286116,CA
37.85037982,-122.0861634,CA
38.00478828,-122.1013641,CA
37.98454427,-122.1152869,CA
37.96627518,-122.1956234,CA
37.85254705,-122.1160811,CA
37.84741116,-122.0997039,CA
37.85712286,-122.1336017,CA
37.98967777,-121.7396046,CA
38.03056,-122.261841,CA
37.91081055,-121.9932387,CA
38.09503812,-120.5604027,CA
37.9845717,-120.6470647,CA
37.9053132,-120.3704286,CA
37.657207,-122.041013,CA
38.10604975,-120.5194946,CA
38.02480393,-120.4790584,CA
37.96066764,-121.6592367,CA
37.86400063,-122.1246668,CA
37.87947969,-122.1573451,CA
37.89093459,-122.1819928,CA
37.90914889,-122.1736014,CA
37.915859,-122.023678,CA
38.64591713,-120.9658364,CA
38.74073891,-120.695713,CA
38.74073891,-120.695713,CA
38.75136,-120.66504,CA
38.77142268,-120.7181932,CA
38.77142268,-120.7181932,CA
38.74950112,-120.6694662,CA
38.74073806,-120.6956566,CA
38.73250209,-120.6681347,CA
38.74013402,-120.6751776,CA
38.74073891,-120.695713,CA
38.7605187,-120.713294,CA
38.69565607,-120.8267536,CA
38.5883286,-120.664434,CA
38.56606259,-120.7008856,CA
38.5883286,-120.664434,CA
38.59986015,-120.6719695,CA
38.60740147,-120.6413515,CA
38.5883286,-120.664434,CA
38.59694472,-120.6577687,CA
38.60740147,-120.6413515,CA
38.60108003,-120.6465749,CA
38.60964236,-120.6569808,CA
38.59854466,-120.6711206,CA
38.60198477,-120.6867592,CA
38.60645773,-120.6463989,CA
38.59394953,-120.6597749,CA
38.82478772,-120.8108382,CA
38.83515974,-120.8970124,CA
38.56338,-120.714932,CA
38.56338,-120.714932,CA
38.67677281,-120.6373752,CA
38.77993879,-120.8902683,CA
38.73031707,-120.7393786,CA
38.68674415,-120.6684443,CA
38.74072889,-120.7599711,CA
38.70633049,-120.8877916,CA
38.726152,-120.803551,CA
38.73995147,-120.7678301,CA
38.68893738,-120.7108299,CA
38.7445891,-120.7538557,CA
38.74374338,-120.7756198,CA
38.74072889,-120.7599711,CA
38.74072889,-120.7599711,CA
38.78460169,-120.8869246,CA
38.74379032,-120.732416,CA
38.68963269,-120.7356035,CA
38.73969694,-120.7125237,CA
38.76362893,-120.7465822,CA
38.79247426,-120.7641704,CA
38.68034155,-120.6970868,CA
38.67509815,-120.6962687,CA
38.70632954,-121.0225672,CA
38.61750146,-120.9321842,CA
38.6263341,-120.9133429,CA
38.67962206,-120.9184917,CA
38.63336923,-120.6242302,CA
38.63336923,-120.6242302,CA
38.60039277,-120.656665,CA
38.60666381,-120.6783983,CA
38.57205092,-120.7276428,CA
38.57113813,-120.7449944,CA
38.60818285,-120.6611802,CA
38.56529712,-120.7056726,CA
38.59779963,-120.6841949,CA
38.60286,-120.63,CA
38.63757033,-120.6568895,CA
38.64619531,-120.6693118,CA
38.60022314,-120.6706555,CA
38.59766739,-120.6935423,CA
38.60094885,-120.6807865,CA
38.56350851,-120.7125722,CA
38.64798769,-120.6711541,CA
38.59348811,-120.6890613,CA
38.59842655,-120.6742091,CA
38.60964236,-120.6569808,CA
38.59586839,-120.6706784,CA
38.7416444,-120.711886,CA
38.7423477,-120.7424927,CA
38.67774941,-120.6384053,CA
38.67446285,-120.6556619,CA
38.69456414,-120.9457381,CA
38.69456414,-120.9457381,CA
38.60286,-120.63,CA
38.60100204,-120.676109,CA
38.59627494,-120.6765717,CA
36.82372822,-119.7020845,CA
36.61723039,-119.6692004,CA
36.82548562,-119.7933778,CA
36.8055393,-119.8670968,CA
36.56322944,-119.7391374,CA
36.76420797,-119.9245498,CA
36.796753,-119.882901,CA
36.77396058,-119.9518429,CA
36.796753,-119.882901,CA
36.77578597,-119.9676967,CA
36.75568284,-119.6990044,CA
36.67488642,-119.9210213,CA
36.82391,-119.758958,CA
36.94434988,-119.7304063,CA
36.82120884,-120.0861367,CA
36.7420683,-120.0191999,CA
36.51534784,-119.5562845,CA
36.5432128,-119.5842719,CA
36.69370009,-119.0791257,CA
36.61153173,-119.4842254,CA
36.67398175,-119.5654647,CA
36.72139384,-119.6100191,CA
36.77195514,-119.4051114,CA
36.69367184,-119.5532664,CA
36.71372651,-119.4483022,CA
36.71372651,-119.4483022,CA
36.6910001,-119.4546222,CA
36.69367184,-119.5532664,CA
33.64578,-117.66912,CA
36.70616603,-119.2537173,CA
36.69274585,-119.1030029,CA
36.69050083,-119.257772,CA
39.79641457,-122.0845801,CA
40.85693321,-124.0885736,CA
40.86707187,-124.0798243,CA
40.88950312,-124.0933558,CA
40.87747658,-124.0940976,CA
40.81974872,-124.0016324,CA
40.86897212,-124.0893094,CA
40.486485,-123.88789,CA
40.77287195,-124.095185,CA
40.74310229,-124.1442311,CA
40.58793314,-124.2516946,CA
40.95871499,-124.0318435,CA
40.12106604,-123.8832058,CA
40.29032413,-123.8125814,CA
40.26812019,-123.874884,CA
41.28525299,-123.541107,CA
41.289963,-123.551367,CA
40.31213182,-124.2723837,CA
40.4022914,-123.9535727,CA
41.02393166,-124.1063613,CA
40.0595176,-123.9717881,CA
40.96563901,-123.6254205,CA
40.96563901,-123.6254205,CA
40.97518399,-123.6302901,CA
40.7788867,-124.1269259,CA
40.79576909,-124.0824499,CA
40.80211824,-124.1700693,CA
41.168795,-123.727286,CA
40.48087954,-124.1418899,CA
41.0664445,-124.1423997,CA
35.25637051,-118.831746,CA
35.331355,-118.861206,CA
35.64005822,-119.2118345,CA
35.70498655,-119.2312831,CA
